ID,Nama,Kelas,Al_Quran_Iqro,Hafalan_Surat_Pendek,Hafalan_Doa,Hafalan_Ayat_Pilihan,Bahasa_Arab,Bahasa_Inggris,Khat_Menulis,Menggambar_Mewarnai,Jasmani_Kesehatan,Kreativitas_Keaktifan,Ulumul_Quran,Kemampuan_Berbahasa,Rata_Rata,Kategori
290,Siswa_290,I.1,70,80,70,79,79,75,76,87,71,67,78,84,76.33333333333333,BSH
291,Siswa_291,I.3,60,59,62,67,65,65,69,58,71,59,65,60,63.333333333333336,MB
292,Siswa_292,I.4,55,57,57,38,48,53,52,54,47,58,47,54,51.666666666666664,BB
293,Siswa_293,I.2,67,65,72,69,62,65,64,62,69,67,65,67,66.16666666666667,MB
294,Siswa_294,I.3,48,46,44,63,50,36,51,45,50,55,55,56,49.916666666666664,BB
295,Siswa_295,I.2,82,74,80,85,75,86,68,84,72,68,72,75,76.75,BSH
296,Siswa_296,I.1,65,60,65,69,65,68,69,56,65,61,74,64,65.08333333333333,MB
297,Siswa_297,I.4,63,70,66,73,73,61,64,63,64,63,61,62,65.25,MB
298,Siswa_298,I.5,72,81,74,85,71,74,78,81,80,77,76,76,77.08333333333333,BSH
299,Siswa_299,I.4,65,62,59,58,61,68,66,65,64,65,70,57,63.333333333333336,MB
300,Siswa_300,I.1,71,86,70,76,68,69,77,78,73,81,84,76,75.75,BSH
301,Siswa_301,I.5,86,97,91,95,100,90,100,99,87,87,100,88,93.33333333333333,BSB
302,Siswa_302,I.3,100,100,94,91,90,96,99,96,88,96,90,89,94.08333333333333,BSB
303,Siswa_303,I.2,60,65,67,68,59,72,72,66,59,69,62,61,65.0,MB
304,Siswa_304,I.5,44,62,52,50,40,46,54,44,60,53,56,47,50.666666666666664,BB
305,Siswa_305,I.3,68,71,65,64,57,64,70,61,59,65,65,69,64.83333333333333,MB
306,Siswa_306,I.4,84,91,98,94,90,87,100,88,85,93,94,96,91.66666666666667,BSB
307,Siswa_307,I.2,88,70,70,73,78,75,71,72,78,68,72,78,74.41666666666667,BSH
308,Siswa_308,I.2,74,76,79,69,78,68,75,73,76,81,75,85,75.75,BSH
309,Siswa_309,I.4,70,70,69,66,60,72,70,60,66,61,67,58,65.75,MB
310,Siswa_310,I.5,84,85,94,100,92,94,96,94,82,92,90,93,91.33333333333333,BSB
311,Siswa_311,I.4,66,59,61,67,61,67,68,72,64,60,59,73,64.75,MB
312,Siswa_312,I.3,71,62,72,67,65,60,67,58,68,62,73,57,65.16666666666667,MB
313,Siswa_313,I.5,66,84,80,74,79,84,84,83,69,72,80,77,77.66666666666667,BSH
314,Siswa_314,I.2,72,64,64,69,65,72,59,63,66,73,60,65,66.0,MB
315,Siswa_315,I.5,58,66,58,68,62,68,71,63,60,60,66,62,63.5,MB
316,Siswa_316,I.2,85,84,84,74,77,71,77,84,81,73,75,81,78.83333333333333,BSH
317,Siswa_317,I.2,83,85,79,73,81,76,65,69,79,73,76,88,77.25,BSH
318,Siswa_318,I.5,76,70,84,70,83,68,79,72,67,72,74,78,74.41666666666667,BSH
319,Siswa_319,I.1,59,39,47,54,46,48,55,43,36,43,61,59,49.166666666666664,BB
320,Siswa_320,I.5,68,60,57,62,64,60,61,62,61,57,69,70,62.583333333333336,MB
321,Siswa_321,I.3,57,51,47,37,53,46,56,44,61,46,59,38,49.583333333333336,BB
322,Siswa_322,I.4,38,39,54,60,61,40,52,57,49,41,47,54,49.333333333333336,BB
323,Siswa_323,I.2,42,37,54,42,51,57,42,45,59,47,55,49,48.333333333333336,BB
324,Siswa_324,I.4,80,94,87,92,85,90,84,96,100,100,91,95,91.16666666666667,BSB
325,Siswa_325,I.5,87,74,77,85,78,80,75,79,73,71,72,73,77.0,BSH
326,Siswa_326,I.5,72,63,58,66,59,72,68,62,70,66,66,60,65.16666666666667,MB
327,Siswa_327,I.4,57,61,62,63,61,62,62,66,60,62,60,57,61.083333333333336,MB
328,Siswa_328,I.4,61,64,72,65,70,64,58,62,66,67,67,63,64.91666666666667,MB
329,Siswa_329,I.1,54,43,49,42,36,51,55,44,42,58,56,45,47.916666666666664,BB
330,Siswa_330,I.4,93,90,92,91,97,92,98,88,91,92,91,90,92.08333333333333,BSB
331,Siswa_331,I.4,64,55,48,50,60,58,54,45,42,51,58,60,53.75,BB
332,Siswa_332,I.4,62,62,68,60,66,63,59,63,64,57,60,68,62.666666666666664,MB
333,Siswa_333,I.1,100,85,94,100,89,87,89,96,99,96,88,89,92.66666666666667,BSB
334,Siswa_334,I.1,58,66,61,65,66,59,61,67,65,63,65,57,62.75,MB
335,Siswa_335,I.2,84,91,96,100,93,93,83,92,100,97,95,99,93.58333333333333,BSB
336,Siswa_336,I.4,50,43,47,57,55,47,44,47,47,59,40,57,49.416666666666664,BB
337,Siswa_337,I.5,40,53,63,42,52,63,61,56,57,40,54,38,51.583333333333336,BB
338,Siswa_338,I.3,54,42,42,56,53,47,51,38,53,53,58,53,50.0,BB
339,Siswa_339,I.2,85,95,93,94,95,91,92,97,97,92,93,97,93.41666666666667,BSB
340,Siswa_340,I.1,46,57,59,51,61,60,53,44,56,58,54,60,54.916666666666664,BB
341,Siswa_341,I.1,91,86,83,94,94,86,97,91,95,92,99,86,91.16666666666667,BSB
342,Siswa_342,I.2,80,73,75,73,77,83,77,83,78,76,72,76,76.91666666666667,BSH
343,Siswa_343,I.3,100,85,96,100,89,95,96,90,94,92,99,94,94.16666666666667,BSB
344,Siswa_344,I.5,84,99,95,88,89,99,94,93,91,94,98,90,92.83333333333333,BSB
345,Siswa_345,I.1,76,80,75,81,79,78,73,83,79,77,80,72,77.75,BSH
346,Siswa_346,I.3,56,69,66,64,59,71,62,69,57,64,62,60,63.25,MB
347,Siswa_347,I.4,55,56,41,49,52,50,54,55,44,56,44,56,51.0,BB
348,Siswa_348,I.5,66,65,57,67,64,67,63,63,70,73,59,60,64.5,MB
349,Siswa_349,I.5,65,71,65,56,66,62,68,69,65,57,63,66,64.41666666666667,MB
350,Siswa_350,I.2,56,55,48,47,50,40,50,61,55,54,35,48,49.916666666666664,BB
351,Siswa_351,I.1,87,93,82,95,91,95,100,90,86,92,92,99,91.83333333333333,BSB
352,Siswa_352,I.5,79,87,66,75,67,79,77,86,76,78,76,82,77.33333333333333,BSH
353,Siswa_353,I.5,79,74,77,71,87,78,81,79,85,81,75,74,78.41666666666667,BSH
354,Siswa_354,I.4,77,76,74,67,85,85,73,71,71,81,75,76,75.91666666666667,BSH
355,Siswa_355,I.1,74,74,76,77,84,81,79,74,80,80,77,72,77.33333333333333,BSH
356,Siswa_356,I.1,97,87,88,88,96,83,87,88,93,96,89,100,91.0,BSB
357,Siswa_357,I.1,91,92,88,96,94,87,93,94,100,93,91,84,91.91666666666667,BSB
358,Siswa_358,I.1,38,46,54,46,50,60,42,55,55,53,41,45,48.75,BB
359,Siswa_359,I.2,79,81,75,68,77,75,79,84,80,85,75,76,77.83333333333333,BSH
360,Siswa_360,I.5,65,63,72,59,62,56,63,66,64,63,67,72,64.33333333333333,MB
361,Siswa_361,I.1,72,67,78,80,84,70,82,82,87,73,71,69,76.25,BSH
362,Siswa_362,I.1,99,90,85,92,100,88,87,91,93,95,100,96,93.0,BSB
363,Siswa_363,I.3,70,72,67,67,57,62,68,61,63,61,70,69,65.58333333333333,MB
364,Siswa_364,I.3,58,45,58,47,40,50,50,60,60,48,46,45,50.583333333333336,BB
365,Siswa_365,I.5,92,87,97,87,95,86,89,87,90,89,95,97,90.91666666666667,BSB
366,Siswa_366,I.1,100,90,94,98,96,100,86,83,92,96,97,94,93.83333333333333,BSB
367,Siswa_367,I.4,68,89,77,66,71,76,75,84,78,70,83,67,75.33333333333333,BSH
368,Siswa_368,I.3,47,44,47,61,53,57,41,42,37,53,55,55,49.333333333333336,BB
369,Siswa_369,I.2,67,64,62,61,71,62,65,64,61,68,67,67,64.91666666666667,MB
370,Siswa_370,I.2,89,85,82,93,85,84,93,86,99,93,88,91,89.0,BSB
371,Siswa_371,I.5,58,48,42,47,37,59,47,41,45,39,51,44,46.5,BB
372,Siswa_372,I.2,64,66,71,67,60,68,64,60,68,74,59,68,65.75,MB
373,Siswa_373,I.2,48,64,46,53,51,46,53,49,49,41,55,63,51.5,BB
374,Siswa_374,I.2,86,93,90,98,89,94,91,90,90,87,82,83,89.41666666666667,BSB
375,Siswa_375,I.5,78,81,80,73,77,79,75,86,68,85,82,83,78.91666666666667,BSH
376,Siswa_376,I.1,63,60,63,67,60,59,72,63,58,57,69,63,62.833333333333336,MB
377,Siswa_377,I.2,70,60,61,60,67,64,61,58,62,72,66,65,63.833333333333336,MB
378,Siswa_378,I.5,42,43,55,51,40,54,53,39,58,56,52,37,48.333333333333336,BB
379,Siswa_379,I.3,65,64,69,66,72,69,61,67,60,65,64,71,66.08333333333333,MB
380,Siswa_380,I.4,61,62,63,67,58,57,66,71,70,62,62,66,63.75,MB
381,Siswa_381,I.1,42,44,48,50,58,51,47,39,53,58,45,40,47.916666666666664,BB
382,Siswa_382,I.1,41,55,42,43,52,44,43,51,39,50,47,51,46.5,BB
383,Siswa_383,I.4,54,46,49,47,58,54,43,59,47,56,59,39,50.916666666666664,BB
384,Siswa_384,I.2,40,48,53,60,42,54,54,57,44,37,52,59,50.0,BB
385,Siswa_385,I.3,85,82,96,100,83,91,97,89,89,95,91,89,90.58333333333333,BSB
386,Siswa_386,I.5,85,96,100,89,100,96,91,100,99,86,90,88,93.33333333333333,BSB
387,Siswa_387,I.4,66,82,77,76,82,78,79,72,68,75,86,70,75.91666666666667,BSH
388,Siswa_388,I.3,85,74,76,68,69,77,76,71,81,79,75,76,75.58333333333333,BSH
389,Siswa_389,I.3,47,58,40,49,51,44,51,38,55,51,54,52,49.166666666666664,BB
390,Siswa_390,I.4,65,72,62,64,65,69,72,71,59,64,61,60,65.33333333333333,MB
391,Siswa_391,I.4,59,61,61,62,61,61,68,60,62,66,66,71,63.166666666666664,MB
392,Siswa_392,I.2,83,74,81,83,70,85,79,73,79,67,83,76,77.75,BSH
393,Siswa_393,I.3,57,41,46,58,36,55,48,40,44,51,46,43,47.083333333333336,BB
394,Siswa_394,I.2,44,55,52,51,60,40,41,46,50,40,45,47,47.583333333333336,BB
395,Siswa_395,I.3,86,94,90,91,88,93,100,92,80,93,87,93,90.58333333333333,BSB
396,Siswa_396,I.1,89,91,89,100,93,100,80,95,86,89,98,87,91.41666666666667,BSB
397,Siswa_397,I.2,44,42,60,49,50,57,49,45,46,50,60,49,50.083333333333336,BB
398,Siswa_398,I.1,45,45,59,41,58,46,56,52,43,49,52,44,49.166666666666664,BB
399,Siswa_399,I.5,88,94,100,100,96,89,100,100,97,89,90,91,94.5,BSB
400,Siswa_400,I.3,62,55,50,59,60,39,48,49,46,35,43,59,50.416666666666664,BB
401,Siswa_401,I.5,67,65,60,70,61,60,60,66,64,60,71,65,64.08333333333333,MB
402,Siswa_402,I.3,86,89,91,97,100,90,97,100,84,97,100,91,93.5,BSB
403,Siswa_403,I.3,88,75,68,80,76,77,79,84,78,81,81,71,78.16666666666667,BSH
404,Siswa_404,I.2,64,70,60,66,60,59,67,65,71,64,64,73,65.25,MB
405,Siswa_405,I.4,70,86,88,78,75,66,79,78,79,75,78,73,77.08333333333333,BSH
406,Siswa_406,I.1,90,87,97,94,87,83,86,88,100,86,85,92,89.58333333333333,BSB
407,Siswa_407,I.4,69,63,63,68,66,71,60,66,63,64,65,59,64.75,MB
408,Siswa_408,I.4,97,96,94,83,89,95,84,89,89,94,85,96,90.91666666666667,BSB
409,Siswa_409,I.1,90,95,91,94,98,94,92,90,86,96,89,93,92.33333333333333,BSB
410,Siswa_410,I.2,68,60,60,71,63,70,67,63,60,57,66,58,63.583333333333336,MB
411,Siswa_411,I.5,69,61,69,63,69,61,57,59,64,57,63,63,62.916666666666664,MB
412,Siswa_412,I.4,87,75,68,82,76,78,71,72,81,75,79,84,77.33333333333333,BSH
413,Siswa_413,I.1,67,68,61,59,62,62,57,68,63,70,64,70,64.25,MB
414,Siswa_414,I.4,60,56,43,53,39,44,50,47,39,50,42,46,47.416666666666664,BB
415,Siswa_415,I.4,78,82,72,83,79,77,81,73,84,81,73,74,78.08333333333333,BSH
416,Siswa_416,I.1,93,91,93,91,100,94,97,100,85,94,91,91,93.33333333333333,BSB
417,Siswa_417,I.2,61,70,68,56,68,69,59,64,61,65,65,60,63.833333333333336,MB
418,Siswa_418,I.3,66,72,67,65,70,70,65,59,64,65,61,67,65.91666666666667,MB
419,Siswa_419,I.3,64,63,69,66,69,58,68,63,62,74,65,70,65.91666666666667,MB
420,Siswa_420,I.3,39,54,44,48,45,54,56,43,49,55,50,53,49.166666666666664,BB
421,Siswa_421,I.2,96,100,87,90,84,91,98,96,81,90,98,91,91.83333333333333,BSB
422,Siswa_422,I.3,71,76,75,78,71,74,71,81,87,80,70,67,75.08333333333333,BSH
423,Siswa_423,I.2,43,49,45,51,54,51,58,49,56,49,51,43,49.916666666666664,BB
424,Siswa_424,I.2,60,41,57,50,57,44,59,50,62,49,43,53,52.083333333333336,BB
425,Siswa_425,I.2,47,60,46,55,59,47,56,49,56,39,50,48,51.0,BB
426,Siswa_426,I.5,100,97,98,95,92,90,84,99,87,93,89,100,93.66666666666667,BSB
427,Siswa_427,I.2,78,74,75,76,74,73,76,82,70,78,75,70,75.08333333333333,BSH
428,Siswa_428,I.1,94,95,91,86,100,91,100,85,100,93,98,94,93.91666666666667,BSB
429,Siswa_429,I.4,51,49,53,49,43,56,48,59,49,59,37,54,50.583333333333336,BB
430,Siswa_430,I.3,87,91,100,95,100,91,86,85,85,87,92,94,91.08333333333333,BSB
431,Siswa_431,I.3,63,69,56,57,67,63,64,64,60,60,61,65,62.416666666666664,MB
432,Siswa_432,I.5,55,44,45,41,47,49,50,49,41,54,57,46,48.166666666666664,BB
433,Siswa_433,I.3,70,60,64,64,67,60,63,65,63,74,69,63,65.16666666666667,MB
434,Siswa_434,I.5,70,73,74,81,80,84,81,74,76,78,88,77,78.0,BSH
435,Siswa_435,I.4,52,59,47,46,57,52,57,55,39,59,39,59,51.75,BB
436,Siswa_436,I.1,59,60,63,59,67,67,69,63,61,72,68,71,64.91666666666667,MB
437,Siswa_437,I.3,88,74,75,86,76,75,74,79,72,72,78,67,76.33333333333333,BSH
438,Siswa_438,I.5,42,40,46,60,45,47,43,57,61,47,43,56,48.916666666666664,BB
439,Siswa_439,I.5,77,70,82,72,79,68,80,70,71,81,79,78,75.58333333333333,BSH
440,Siswa_440,I.5,96,95,93,90,90,100,98,100,99,95,100,99,96.25,BSB
441,Siswa_441,I.1,38,48,46,52,57,51,43,40,59,57,53,51,49.583333333333336,BB
442,Siswa_442,I.1,100,95,96,96,100,92,93,86,87,89,94,86,92.83333333333333,BSB
443,Siswa_443,I.4,54,41,40,52,48,53,42,50,46,47,55,60,49.0,BB
444,Siswa_444,I.1,83,94,95,100,96,85,89,91,100,98,100,86,93.08333333333333,BSB
445,Siswa_445,I.3,94,90,85,96,95,93,94,88,93,95,89,95,92.25,BSB
446,Siswa_446,I.4,66,67,70,67,69,62,64,55,66,64,71,70,65.91666666666667,MB
447,Siswa_447,I.3,62,62,57,69,69,63,70,67,63,71,67,66,65.5,MB
448,Siswa_448,I.2,75,81,69,67,72,71,66,80,74,71,75,70,72.58333333333333,BSH
449,Siswa_449,I.2,40,52,52,43,51,57,51,59,54,45,53,45,50.166666666666664,BB
450,Siswa_450,I.2,100,90,100,88,100,81,100,99,100,88,100,96,95.16666666666667,BSB
451,Siswa_451,I.4,84,84,88,81,98,85,93,92,100,90,94,92,90.08333333333333,BSB
452,Siswa_452,I.1,75,82,72,81,69,65,76,68,81,72,76,77,74.5,BSH
453,Siswa_453,I.5,70,77,79,75,72,72,77,75,84,84,78,72,76.25,BSH
454,Siswa_454,I.5,60,63,56,62,63,68,64,67,67,64,71,58,63.583333333333336,MB
455,Siswa_455,I.5,90,95,82,100,99,93,96,88,96,89,92,94,92.83333333333333,BSB
456,Siswa_456,I.5,46,60,61,51,56,49,41,43,51,50,42,55,50.416666666666664,BB
457,Siswa_457,I.1,45,54,46,59,53,41,39,58,46,41,45,55,48.5,BB
458,Siswa_458,I.1,47,41,49,47,62,46,61,42,55,49,59,52,50.833333333333336,BB
459,Siswa_459,I.4,47,45,50,50,47,50,61,54,43,48,43,49,48.916666666666664,BB
460,Siswa_460,I.3,83,94,94,100,90,91,89,93,91,94,91,88,91.5,BSB
461,Siswa_461,I.1,84,79,76,80,76,74,85,76,79,67,84,70,77.5,BSH
462,Siswa_462,I.5,41,46,38,48,45,52,40,44,44,59,48,57,46.833333333333336,BB
463,Siswa_463,I.1,48,58,51,55,61,46,43,49,59,53,44,49,51.333333333333336,BB
464,Siswa_464,I.4,77,77,82,87,83,77,83,73,78,71,83,75,78.83333333333333,BSH
465,Siswa_465,I.3,49,60,46,38,52,49,53,49,41,50,58,51,49.666666666666664,BB
466,Siswa_466,I.2,100,100,82,95,86,95,100,99,92,96,93,91,94.08333333333333,BSB
467,Siswa_467,I.5,85,82,91,87,98,88,100,89,89,96,98,93,91.33333333333333,BSB
468,Siswa_468,I.3,86,72,72,74,80,73,74,84,81,73,84,72,77.08333333333333,BSH
469,Siswa_469,I.5,71,74,84,83,80,83,81,71,69,78,69,75,76.5,BSH
470,Siswa_470,I.2,82,77,79,80,72,65,79,78,80,80,84,78,77.83333333333333,BSH
471,Siswa_471,I.4,72,79,75,71,79,84,78,68,67,75,74,84,75.5,BSH
472,Siswa_472,I.5,65,67,62,67,65,73,69,71,72,62,69,70,67.66666666666667,MB
473,Siswa_473,I.5,100,89,95,87,90,95,95,92,100,91,88,100,93.5,BSB
474,Siswa_474,I.4,76,76,87,71,76,65,83,77,79,79,69,83,76.75,BSH
475,Siswa_475,I.3,71,70,62,66,61,66,58,66,64,72,57,68,65.08333333333333,MB
476,Siswa_476,I.1,87,95,86,81,90,90,93,93,100,100,88,82,90.41666666666667,BSB
477,Siswa_477,I.5,96,96,100,91,90,89,87,90,99,96,98,97,94.08333333333333,BSB
478,Siswa_478,I.5,82,99,88,85,100,90,97,94,94,89,95,86,91.58333333333333,BSB
479,Siswa_479,I.5,52,54,49,39,57,51,53,50,57,61,59,57,53.25,BB
480,Siswa_480,I.5,39,37,42,37,45,47,48,46,57,57,55,48,46.5,BB
481,Siswa_481,I.1,93,91,94,93,96,94,88,92,86,90,95,97,92.41666666666667,BSB
482,Siswa_482,I.4,90,94,82,96,100,85,100,100,90,92,90,86,92.08333333333333,BSB
483,Siswa_483,I.1,76,87,71,74,79,84,67,68,76,77,70,73,75.16666666666667,BSH
484,Siswa_484,I.5,96,95,100,96,90,91,90,84,91,86,89,100,92.33333333333333,BSB
485,Siswa_485,I.5,98,96,100,99,95,93,90,100,100,100,96,94,96.75,BSB
486,Siswa_486,I.1,66,67,62,62,57,63,68,64,67,60,63,66,63.75,MB
487,Siswa_487,I.3,72,71,75,77,80,73,76,72,89,79,83,80,77.25,BSH
488,Siswa_488,I.4,75,82,75,88,72,80,81,87,69,88,79,76,79.33333333333333,BSH
489,Siswa_489,I.1,92,95,100,100,100,96,92,89,85,100,81,93,93.58333333333333,BSB
490,Siswa_490,I.4,55,47,47,61,47,40,46,47,55,47,38,51,48.416666666666664,BB
491,Siswa_491,I.2,86,97,88,85,93,91,81,91,93,96,94,90,90.41666666666667,BSB
492,Siswa_492,I.4,67,67,64,61,67,67,61,58,59,66,64,66,63.916666666666664,MB
493,Siswa_493,I.4,84,87,81,76,77,76,70,69,67,78,85,80,77.5,BSH
494,Siswa_494,I.3,90,83,98,85,100,88,83,100,96,88,94,89,91.16666666666667,BSB
495,Siswa_495,I.5,48,56,63,47,47,53,48,58,36,62,59,53,52.5,BB
496,Siswa_496,I.2,76,81,83,86,88,79,80,79,71,65,80,69,78.08333333333333,BSH
497,Siswa_497,I.4,79,76,80,77,68,79,82,80,79,81,80,82,78.58333333333333,BSH
498,Siswa_498,I.3,80,86,85,92,93,92,96,100,92,88,87,85,89.66666666666667,BSB
499,Siswa_499,I.1,82,87,95,99,100,91,97,96,87,93,92,89,92.33333333333333,BSB
500,Siswa_500,I.4,54,37,59,56,48,53,44,57,51,45,50,56,50.833333333333336,BB
501,Siswa_501,I.3,79,75,70,80,85,76,83,74,76,83,73,87,78.41666666666667,BSH
502,Siswa_502,I.5,50,52,51,47,43,44,42,57,49,40,63,48,48.833333333333336,BB
503,Siswa_503,I.2,37,51,38,52,52,48,48,58,54,47,43,52,48.333333333333336,BB
504,Siswa_504,I.3,56,57,55,44,47,55,44,46,43,46,47,43,48.583333333333336,BB
505,Siswa_505,I.3,56,44,48,41,47,48,49,47,58,50,50,39,48.083333333333336,BB
506,Siswa_506,I.5,96,83,99,92,95,87,100,95,97,100,89,85,93.16666666666667,BSB
507,Siswa_507,I.4,71,77,74,84,80,77,77,78,72,82,73,75,76.66666666666667,BSH
508,Siswa_508,I.5,99,85,96,95,95,84,94,84,90,85,88,91,90.5,BSB
509,Siswa_509,I.4,43,57,42,44,49,39,45,49,60,58,50,56,49.333333333333336,BB
510,Siswa_510,I.1,70,63,57,69,62,66,67,70,63,65,71,64,65.58333333333333,MB
511,Siswa_511,I.1,77,75,86,73,77,72,81,73,72,72,82,74,76.16666666666667,BSH
512,Siswa_512,I.5,78,77,72,80,77,75,77,76,80,74,80,79,77.08333333333333,BSH
513,Siswa_513,I.2,43,45,58,46,38,45,55,52,39,40,47,55,46.916666666666664,BB
514,Siswa_514,I.3,56,65,62,63,61,66,64,61,58,64,56,63,61.583333333333336,MB
515,Siswa_515,I.1,71,64,59,63,64,57,66,63,67,63,68,60,63.75,MB
516,Siswa_516,I.1,94,87,87,87,100,85,95,100,80,89,92,95,90.91666666666667,BSB
517,Siswa_517,I.5,87,85,95,89,94,100,93,96,91,82,100,94,92.16666666666667,BSB
518,Siswa_518,I.4,78,80,85,87,74,86,84,77,75,77,79,81,80.25,BSH
519,Siswa_519,I.5,75,83,73,70,83,73,76,87,71,77,78,75,76.75,BSH
520,Siswa_520,I.3,73,75,72,84,81,84,77,76,82,79,76,72,77.58333333333333,BSH
521,Siswa_521,I.5,53,42,39,51,48,43,50,54,37,46,58,59,48.333333333333336,BB
522,Siswa_522,I.5,61,65,63,64,72,63,67,62,64,66,59,67,64.41666666666667,MB
523,Siswa_523,I.4,35,38,60,51,47,36,48,53,47,44,41,47,45.583333333333336,BB
524,Siswa_524,I.5,64,65,63,56,67,71,59,67,66,61,72,72,65.25,MB
525,Siswa_525,I.4,49,56,38,44,50,52,44,54,53,52,52,48,49.333333333333336,BB
526,Siswa_526,I.4,49,60,48,49,47,49,54,57,47,55,52,46,51.083333333333336,BB
527,Siswa_527,I.1,71,72,83,81,83,71,78,73,80,84,75,77,77.33333333333333,BSH
528,Siswa_528,I.3,59,56,58,55,50,44,60,37,53,53,47,54,52.166666666666664,BB
529,Siswa_529,I.5,79,81,75,86,83,70,80,81,83,78,78,76,79.16666666666667,BSH
530,Siswa_530,I.5,70,65,61,61,64,59,72,72,56,66,69,66,65.08333333333333,MB
531,Siswa_531,I.1,71,74,82,82,70,74,74,79,75,75,72,87,76.25,BSH
532,Siswa_532,I.5,48,44,57,42,39,58,45,44,52,46,41,45,46.75,BB
533,Siswa_533,I.1,75,71,81,71,77,77,72,85,75,77,75,74,75.83333333333333,BSH
534,Siswa_534,I.2,66,67,61,61,62,61,63,57,66,59,59,65,62.25,MB
535,Siswa_535,I.1,92,96,89,90,92,90,95,89,99,88,100,97,93.08333333333333,BSB
536,Siswa_536,I.1,85,85,92,82,93,95,97,89,90,96,93,94,90.91666666666667,BSB
537,Siswa_537,I.4,67,65,59,72,57,55,68,73,64,62,65,62,64.08333333333333,MB
538,Siswa_538,I.4,65,66,68,66,74,65,63,63,66,57,62,64,64.91666666666667,MB
539,Siswa_539,I.4,66,70,78,67,82,73,85,66,77,88,73,69,74.5,BSH
540,Siswa_540,I.1,61,58,70,65,70,63,58,62,58,66,71,67,64.08333333333333,MB
541,Siswa_541,I.4,42,47,59,47,46,51,52,43,53,60,53,51,50.333333333333336,BB
542,Siswa_542,I.4,70,84,82,82,79,76,72,65,73,82,84,73,76.83333333333333,BSH
543,Siswa_543,I.4,64,63,66,71,71,68,67,74,71,66,72,66,68.25,MB
544,Siswa_544,I.1,66,65,67,63,63,68,65,63,72,73,63,64,66.0,MB
545,Siswa_545,I.4,90,95,89,87,94,98,90,89,88,91,87,84,90.16666666666667,BSB
546,Siswa_546,I.1,94,83,99,83,87,96,85,94,94,100,94,86,91.25,BSB
547,Siswa_547,I.5,81,84,72,83,76,80,77,79,76,73,73,80,77.83333333333333,BSH
548,Siswa_548,I.4,70,65,72,69,59,65,68,57,69,66,70,70,66.66666666666667,MB
549,Siswa_549,I.4,85,87,83,89,95,90,95,93,100,94,92,99,91.83333333333333,BSB
550,Siswa_550,I.2,57,59,64,59,59,70,68,71,63,55,69,65,63.25,MB
551,Siswa_551,I.3,93,86,87,93,93,88,83,89,98,96,92,91,90.75,BSB
552,Siswa_552,I.4,77,77,83,81,79,78,71,76,77,71,72,74,76.33333333333333,BSH
553,Siswa_553,I.4,74,60,66,62,69,71,68,70,59,71,70,67,67.25,MB
554,Siswa_554,I.3,48,53,49,42,47,48,53,44,41,51,54,59,49.083333333333336,BB
555,Siswa_555,I.4,67,60,62,67,73,64,61,67,70,68,57,70,65.5,MB
556,Siswa_556,I.4,73,80,70,81,84,71,70,71,87,68,80,72,75.58333333333333,BSH
557,Siswa_557,I.5,85,76,84,81,85,76,84,76,76,88,73,76,80.0,BSH
558,Siswa_558,I.2,100,98,90,95,100,92,99,96,83,86,94,95,94.0,BSB
559,Siswa_559,I.2,75,70,73,71,75,76,78,88,71,68,83,82,75.83333333333333,BSH
560,Siswa_560,I.1,96,80,91,100,92,93,94,95,94,96,92,92,92.91666666666667,BSB
561,Siswa_561,I.5,60,62,74,59,68,64,61,68,61,73,65,72,65.58333333333333,MB
562,Siswa_562,I.1,76,82,68,85,82,70,72,86,76,80,84,73,77.83333333333333,BSH
563,Siswa_563,I.1,67,63,62,66,70,56,60,60,61,61,72,65,63.583333333333336,MB
564,Siswa_564,I.2,74,82,86,79,75,72,71,80,81,81,71,73,77.08333333333333,BSH
565,Siswa_565,I.3,45,62,55,48,54,46,44,55,45,53,47,50,50.333333333333336,BB
566,Siswa_566,I.4,65,72,66,56,61,68,64,64,72,69,70,69,66.33333333333333,MB
567,Siswa_567,I.2,56,51,37,52,64,55,52,57,57,63,58,53,54.583333333333336,BB
568,Siswa_568,I.4,60,70,59,58,69,66,67,68,65,69,62,72,65.41666666666667,MB
569,Siswa_569,I.5,83,80,76,82,84,72,82,71,82,69,72,68,76.75,BSH
570,Siswa_570,I.4,80,80,74,80,74,85,84,70,70,87,74,79,78.08333333333333,BSH
571,Siswa_571,I.3,70,79,76,70,72,86,84,78,71,81,70,72,75.75,BSH
572,Siswa_572,I.4,69,67,60,64,60,63,72,60,62,66,67,73,65.25,MB
573,Siswa_573,I.2,80,71,83,74,81,74,83,80,77,73,86,77,78.25,BSH
574,Siswa_574,I.4,88,100,94,86,90,100,100,95,92,89,91,100,93.75,BSB
575,Siswa_575,I.1,76,74,70,80,72,80,87,85,82,82,71,67,77.16666666666667,BSH
576,Siswa_576,I.1,62,63,67,57,62,60,66,59,59,73,63,68,63.25,MB
577,Siswa_577,I.3,57,65,66,67,69,70,61,64,64,65,66,71,65.41666666666667,MB
578,Siswa_578,I.5,59,43,48,60,39,47,61,59,60,44,42,57,51.583333333333336,BB
579,Siswa_579,I.5,56,50,50,42,53,56,45,48,45,43,56,45,49.083333333333336,BB
580,Siswa_580,I.4,67,65,63,68,67,62,60,64,63,72,64,58,64.41666666666667,MB
